date,league,season,season_type,covid,home_team,away_team,home_goals,away_goals,result,home_last3_points,away_last3_points,result_label,home_form_group,away_form_group,stadium,capacity,ht_home_goals,ht_away_goals,ht_result
2020-09-26,La Liga,2020_2021,covid,1,Elche,Sociedad,0,3,A,0,2,Away Win,bad,bad,NA,NA,0.0,0.0,D
2020-09-26,La Liga,2020_2021,covid,1,Valencia,Huesca,1,1,D,3,1,Draw,bad,bad,Mestalla,55000.0,1.0,0.0,H
2020-09-26,Ligue 1,2020_2021,covid,1,Marseille,Metz,1,1,D,4,3,Draw,medium,bad,Vélodrome Stadyumu,60013.0,0.0,0.0,D
2020-09-26,Ligue 1,2020_2021,covid,1,St Etienne,Rennes,0,3,A,7,9,Away Win,good,good,NA,NA,0.0,1.0,A
2020-09-26,Premier League,2020_2021,covid,1,Brighton,Man United,2,3,A,3,0,Away Win,bad,bad,Falmer Stadyumu,22500.0,1.0,1.0,D
2020-09-26,Premier League,2020_2021,covid,1,Burnley,Southampton,0,1,A,0,0,Away Win,bad,bad,NA,NA,0.0,1.0,A
2020-09-26,Premier League,2020_2021,covid,1,Crystal Palace,Everton,1,2,A,6,6,Away Win,medium,medium,Selhurst Park,26225.0,1.0,2.0,A
2020-09-26,Premier League,2020_2021,covid,1,West Brom,Chelsea,3,3,D,0,3,Draw,bad,bad,NA,NA,3.0,0.0,H
2020-09-26,Serie A,2020_2021,covid,1,Cagliari,Lazio,0,2,A,1,0,Away Win,bad,bad,Unipol Domus,16233.0,0.0,1.0,A
2020-09-26,Serie A,2020_2021,covid,1,Inter,Fiorentina,4,3,H,0,3,Home Win,bad,bad,NA,NA,1.0,1.0,D
2020-09-26,Serie A,2020_2021,covid,1,Sampdoria,Benevento,2,3,A,0,0,Away Win,bad,bad,NA,NA,2.0,1.0,H
2020-09-26,Serie A,2020_2021,covid,1,Torino,Atalanta,2,4,A,0,0,Away Win,bad,bad,Stadio Filadelfia,4000.0,2.0,3.0,A
2020-09-27,Bundesliga,2020_2021,covid,1,Freiburg,Wolfsburg,1,1,D,3,1,Draw,bad,bad,Kara Orman Stadyumu,24036.0,1.0,1.0,D
2020-09-27,Bundesliga,2020_2021,covid,1,Hoffenheim,Bayern Munich,4,1,H,3,3,Home Win,bad,bad,NA,NA,2.0,1.0,H
2020-09-27,La Liga,2020_2021,covid,1,Ath Madrid,Granada,6,1,H,0,6,Home Win,bad,medium,Vicente Calderón,54851.0,1.0,0.0,H
2020-09-27,La Liga,2020_2021,covid,1,Barcelona,Villarreal,4,0,H,0,4,Home Win,bad,medium,Camp Nou,99354.0,4.0,0.0,H
2020-09-27,La Liga,2020_2021,covid,1,Cadiz,Sevilla,1,3,A,3,0,Away Win,bad,bad,NA,NA,0.0,0.0,D
2020-09-27,La Liga,2020_2021,covid,1,Eibar,Ath Bilbao,1,2,A,1,0,Away Win,bad,bad,NA,NA,0.0,1.0,A
2020-09-27,La Liga,2020_2021,covid,1,Osasuna,Levante,1,3,A,3,0,Away Win,bad,bad,Reyno de Navarra,19800.0,1.0,1.0,D
2020-09-27,La Liga,2020_2021,covid,1,Valladolid,Celta,1,1,D,1,4,Draw,bad,medium,José Zorilla,26512.0,0.0,1.0,A
2020-09-27,Ligue 1,2020_2021,covid,1,Angers,Brest,3,2,H,3,6,Home Win,bad,medium,NA,NA,1.0,2.0,A
2020-09-27,Ligue 1,2020_2021,covid,1,Bordeaux,Nice,0,0,D,4,3,Draw,medium,bad,NA,NA,0.0,0.0,D
2020-09-27,Ligue 1,2020_2021,covid,1,Dijon,Montpellier,2,2,D,0,9,Draw,bad,good,NA,NA,1.0,0.0,H
2020-09-27,Ligue 1,2020_2021,covid,1,Lorient,Lyon,1,1,D,0,2,Draw,bad,bad,NA,NA,0.0,0.0,D
2020-09-27,Ligue 1,2020_2021,covid,1,Monaco,Strasbourg,3,2,H,6,3,Home Win,medium,bad,NA,NA,2.0,0.0,H
2020-09-27,Ligue 1,2020_2021,covid,1,Nimes,Lens,1,1,D,1,9,Draw,bad,good,NA,NA,0.0,1.0,A
2020-09-27,Ligue 1,2020_2021,covid,1,Reims,Paris SG,0,2,A,0,6,Away Win,bad,medium,Stade Auguste-Delaune II,21684.0,0.0,1.0,A
2020-09-27,Premier League,2020_2021,covid,1,Man City,Leicester,2,5,A,3,6,Away Win,bad,medium,Etihad Stadium,47405.0,1.0,1.0,D
2020-09-27,Premier League,2020_2021,covid,1,Sheffield United,Leeds,0,1,A,0,3,Away Win,bad,bad,NA,NA,0.0,0.0,D
2020-09-27,Premier League,2020_2021,covid,1,Tottenham,Newcastle,1,1,D,3,3,Draw,bad,bad,White Hart Lane,36230.0,1.0,0.0,H
2020-09-27,Premier League,2020_2021,covid,1,West Ham,Wolves,4,0,H,0,3,Home Win,bad,bad,The Boleyn Ground,35303.0,1.0,0.0,H
2020-09-27,Serie A,2020_2021,covid,1,Crotone,Milan,0,2,A,0,3,Away Win,bad,bad,NA,NA,0.0,1.0,A
2020-09-27,Serie A,2020_2021,covid,1,Napoli,Genoa,6,0,H,3,3,Home Win,bad,bad,Stadio Arturo Collana,12000.0,1.0,0.0,H
2020-09-27,Serie A,2020_2021,covid,1,Roma,Juventus,2,2,D,1,3,Draw,bad,bad,Campo Testaccio,20000.0,2.0,1.0,H
2020-09-27,Serie A,2020_2021,covid,1,Spezia,Sassuolo,1,4,A,0,1,Away Win,bad,bad,NA,NA,1.0,1.0,D
2020-09-27,Serie A,2020_2021,covid,1,Verona,Udinese,1,0,H,1,0,Home Win,bad,bad,NA,NA,0.0,0.0,D
