Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2020-11-28,Augsburg,Freiburg,1,1,D,0.0,0.0,D,,10.0,10.0,2.0,5.0,15.0,8.0,4.0,1.0,3.0,1.0,0.0,0.0,2020_2021,covid
2020-11-28,Dortmund,FC Koln,1,2,A,0.0,1.0,A,,14.0,7.0,4.0,5.0,11.0,10.0,6.0,2.0,1.0,2.0,0.0,0.0,2020_2021,covid
2020-11-28,RB Leipzig,Bielefeld,2,1,H,1.0,0.0,H,,15.0,13.0,7.0,3.0,13.0,15.0,6.0,7.0,2.0,2.0,0.0,0.0,2020_2021,covid
2020-11-28,Stuttgart,Bayern Munich,1,3,A,1.0,2.0,A,,15.0,14.0,4.0,6.0,11.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,2020_2021,covid
2020-11-28,Union Berlin,Ein Frankfurt,3,3,D,2.0,2.0,D,,15.0,12.0,7.0,5.0,12.0,16.0,4.0,5.0,2.0,3.0,0.0,0.0,2020_2021,covid
2020-11-28,M'gladbach,Schalke 04,4,1,H,2.0,1.0,H,,19.0,13.0,9.0,2.0,8.0,14.0,5.0,4.0,2.0,3.0,0.0,0.0,2020_2021,covid
2020-11-29,Leverkusen,Hertha,0,0,D,0.0,0.0,D,,14.0,5.0,2.0,3.0,16.0,19.0,6.0,1.0,2.0,1.0,0.0,0.0,2020_2021,covid
2020-11-29,Mainz,Hoffenheim,1,1,D,1.0,0.0,H,,10.0,9.0,4.0,5.0,16.0,10.0,11.0,5.0,0.0,0.0,0.0,1.0,2020_2021,covid
2020-12-04,Hertha,Union Berlin,3,1,H,0.0,1.0,A,,10.0,4.0,7.0,1.0,15.0,9.0,9.0,2.0,1.0,3.0,0.0,1.0,2020_2021,covid
2020-12-05,Bielefeld,Mainz,2,1,H,2.0,0.0,H,,11.0,15.0,5.0,5.0,16.0,18.0,2.0,3.0,3.0,2.0,0.0,0.0,2020_2021,covid
2020-12-05,Ein Frankfurt,Dortmund,1,1,D,1.0,0.0,H,,9.0,16.0,1.0,5.0,14.0,6.0,6.0,5.0,6.0,1.0,0.0,0.0,2020_2021,covid
2020-12-05,FC Koln,Wolfsburg,2,2,D,2.0,1.0,H,,6.0,16.0,3.0,6.0,12.0,11.0,3.0,8.0,0.0,1.0,0.0,0.0,2020_2021,covid
2020-12-05,Freiburg,M'gladbach,2,2,D,1.0,1.0,D,,22.0,11.0,7.0,4.0,12.0,19.0,5.0,5.0,1.0,2.0,0.0,0.0,2020_2021,covid
2020-12-05,Bayern Munich,RB Leipzig,3,3,D,2.0,2.0,D,,10.0,8.0,6.0,4.0,5.0,8.0,10.0,2.0,0.0,1.0,0.0,0.0,2020_2021,covid
2020-12-06,Werder Bremen,Stuttgart,1,2,A,0.0,1.0,A,,14.0,11.0,4.0,7.0,10.0,15.0,2.0,4.0,4.0,4.0,0.0,0.0,2020_2021,covid
2020-12-06,Schalke 04,Leverkusen,0,3,A,0.0,1.0,A,,13.0,24.0,4.0,9.0,17.0,11.0,2.0,8.0,2.0,3.0,0.0,0.0,2020_2021,covid
2020-12-07,Hoffenheim,Augsburg,3,1,H,1.0,1.0,D,,10.0,13.0,7.0,3.0,15.0,9.0,4.0,3.0,0.0,1.0,0.0,0.0,2020_2021,covid
2020-12-11,Wolfsburg,Ein Frankfurt,2,1,H,0.0,0.0,D,,16.0,7.0,8.0,4.0,10.0,12.0,8.0,1.0,5.0,2.0,0.0,0.0,2020_2021,covid
2020-12-12,Dortmund,Stuttgart,1,5,A,1.0,1.0,D,,12.0,18.0,4.0,10.0,11.0,13.0,8.0,2.0,2.0,3.0,0.0,0.0,2020_2021,covid
2020-12-12,Freiburg,Bielefeld,2,0,H,0.0,0.0,D,,16.0,5.0,7.0,1.0,16.0,13.0,5.0,4.0,3.0,0.0,0.0,0.0,2020_2021,covid
2020-12-12,Mainz,FC Koln,0,1,A,0.0,0.0,D,,15.0,9.0,4.0,6.0,15.0,11.0,5.0,3.0,4.0,4.0,0.0,1.0,2020_2021,covid
2020-12-12,M'gladbach,Hertha,1,1,D,0.0,0.0,D,,17.0,9.0,4.0,3.0,9.0,18.0,13.0,2.0,3.0,2.0,0.0,0.0,2020_2021,covid
