Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2025-03-08,Lecce,Milan,2,3,A,1,0,H,,11,16,3,9,13,7,2,7,2,1,0,0,2024_2025,normal
2025-03-08,Inter,Monza,3,2,H,1,2,A,,30,8,9,4,8,7,13,1,0,1,0,0,2024_2025,normal
2025-03-09,Verona,Bologna,1,2,A,0,1,A,,7,12,2,6,23,11,1,3,2,1,1,0,2024_2025,normal
2025-03-09,Napoli,Fiorentina,2,1,H,1,0,H,,19,7,11,2,10,5,4,4,1,2,0,0,2024_2025,normal
2025-03-09,Empoli,Roma,0,1,A,0,1,A,,3,16,1,7,12,10,1,9,0,0,0,0,2024_2025,normal
2025-03-09,Juventus,Atalanta,0,4,A,0,1,A,,9,19,2,9,12,11,2,5,1,1,0,0,2024_2025,normal
2025-03-10,Lazio,Udinese,1,1,D,1,1,D,,10,15,5,4,9,11,4,9,2,4,0,0,2024_2025,normal
2025-03-14,Genoa,Lecce,2,1,H,2,0,H,,8,15,2,2,12,10,3,3,3,2,0,0,2024_2025,normal
2025-03-15,Monza,Parma,1,1,D,0,0,D,,12,14,4,6,14,16,6,3,0,3,0,0,2024_2025,normal
2025-03-15,Udinese,Verona,0,1,A,0,0,D,,11,7,3,2,21,16,2,1,5,2,0,0,2024_2025,normal
2025-03-15,Milan,Como,2,1,H,0,1,A,,9,15,3,6,21,7,0,5,3,3,0,1,2024_2025,normal
2025-03-15,Torino,Empoli,1,0,H,0,0,D,,13,16,3,2,9,12,5,5,1,0,0,0,2024_2025,normal
2025-03-16,Venezia,Napoli,0,0,D,0,0,D,,13,15,4,7,19,8,3,8,2,1,0,0,2024_2025,normal
2025-03-16,Bologna,Lazio,5,0,H,1,0,H,,13,7,7,2,18,16,7,1,2,3,0,0,2024_2025,normal
2025-03-16,Roma,Cagliari,1,0,H,0,0,D,,13,11,1,5,4,12,8,3,0,2,0,0,2024_2025,normal
2025-03-16,Fiorentina,Juventus,3,0,H,2,0,H,,9,11,3,2,9,13,1,6,2,3,0,0,2024_2025,normal
2025-03-16,Atalanta,Inter,0,2,A,0,0,D,,16,14,3,5,11,14,2,6,3,3,1,1,2024_2025,normal
2025-03-29,Como,Empoli,1,1,D,0,0,D,,16,14,5,4,5,22,4,1,2,5,0,1,2024_2025,normal
2025-03-29,Venezia,Bologna,0,1,A,0,0,D,,6,13,3,4,14,21,2,3,4,1,0,0,2024_2025,normal
2025-03-29,Juventus,Genoa,1,0,H,1,0,H,,9,9,6,3,13,11,4,3,3,2,0,0,2024_2025,normal
2025-03-29,Lecce,Roma,0,1,A,0,0,D,,17,16,4,6,6,11,6,6,1,3,0,0,2024_2025,normal
2025-03-30,Cagliari,Monza,3,0,H,0,0,D,,11,12,4,3,17,11,4,6,2,2,0,0,2024_2025,normal
2025-03-30,Fiorentina,Atalanta,1,0,H,1,0,H,,12,9,4,0,7,16,2,4,0,3,0,0,2024_2025,normal
2025-03-30,Inter,Udinese,2,1,H,2,0,H,,13,11,3,4,8,14,2,4,2,0,0,0,2024_2025,normal
2025-03-30,Napoli,Milan,2,1,H,2,0,H,,8,17,3,4,10,5,2,6,2,2,0,0,2024_2025,normal
2025-03-31,Verona,Parma,0,0,D,0,0,D,,6,10,0,1,11,9,5,5,2,1,0,0,2024_2025,normal
2025-03-31,Lazio,Torino,1,1,D,0,0,D,,16,7,6,2,9,20,5,3,3,4,0,0,2024_2025,normal
2025-04-04,Genoa,Udinese,1,0,H,0,0,D,,13,5,7,2,16,14,1,2,2,2,0,0,2024_2025,normal
2025-04-05,Monza,Como,1,3,A,1,2,A,,8,17,4,7,19,21,2,2,2,1,0,0,2024_2025,normal
2025-04-05,Parma,Inter,2,2,D,0,2,A,,8,20,4,4,9,7,2,4,2,3,0,0,2024_2025,normal
2025-04-05,Milan,Fiorentina,2,2,D,1,2,A,,19,15,6,8,12,12,7,4,4,3,0,0,2024_2025,normal
2025-04-06,Lecce,Venezia,1,1,D,0,0,D,,23,13,4,3,10,14,8,3,2,4,0,0,2024_2025,normal
2025-04-06,Empoli,Cagliari,0,0,D,0,0,D,,7,7,1,1,9,15,2,3,0,4,0,0,2024_2025,normal
2025-04-06,Torino,Verona,1,1,D,0,0,D,,7,13,3,1,9,19,1,5,1,1,1,0,2024_2025,normal
2025-04-06,Atalanta,Lazio,0,1,A,0,0,D,,10,8,2,3,6,6,11,4,1,2,0,0,2024_2025,normal
2025-04-06,Roma,Juventus,1,1,D,0,1,A,,11,11,4,7,11,15,4,4,1,1,0,0,2024_2025,normal
2025-04-07,Bologna,Napoli,1,1,D,0,1,A,,12,6,4,2,11,18,8,3,1,3,0,0,2024_2025,normal
2025-04-11,Udinese,Milan,0,4,A,0,2,A,,14,14,5,7,10,9,5,7,1,1,0,0,2024_2025,normal
2025-04-12,Venezia,Monza,1,0,H,0,0,D,,9,10,4,3,20,20,3,4,5,3,1,0,2024_2025,normal
2025-04-12,Inter,Cagliari,3,1,H,2,0,H,,13,8,4,4,6,12,5,6,0,1,0,0,2024_2025,normal
2025-04-12,Juventus,Lecce,2,1,H,2,0,H,,22,14,7,3,7,10,9,4,0,1,0,0,2024_2025,normal
2025-04-13,Atalanta,Bologna,2,0,H,2,0,H,,4,12,2,5,17,12,4,5,4,1,0,0,2024_2025,normal
2025-04-13,Fiorentina,Parma,0,0,D,0,0,D,,9,7,3,3,10,19,2,2,0,5,0,0,2024_2025,normal
