Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2020-11-29,Lorient,Montpellier,0,1,A,0,0,D,,8,16,2,3,13,14,2,4,2,1,0,0,2020_2021,covid
2020-11-29,Metz,Brest,0,2,A,0,1,A,,15,10,6,3,11,10,10,5,2,1,0,0,2020_2021,covid
2020-11-29,Monaco,Nimes,3,0,H,1,0,H,,18,6,5,2,16,9,8,3,1,1,0,1,2020_2021,covid
2020-11-29,Nice,Dijon,1,3,A,0,2,A,,24,9,7,4,7,21,11,1,3,3,0,0,2020_2021,covid
2020-11-29,St Etienne,Lille,1,1,D,1,0,H,,7,9,5,2,15,13,3,3,4,1,0,0,2020_2021,covid
2020-12-04,Nimes,Marseille,0,2,A,0,0,D,,7,17,0,4,11,18,1,8,3,4,1,1,2020_2021,covid
2020-12-05,Rennes,Lens,0,2,A,0,1,A,,10,6,4,4,18,16,8,3,1,3,0,0,2020_2021,covid
2020-12-05,Montpellier,Paris SG,1,3,A,1,1,D,,17,13,2,6,12,14,3,3,1,3,0,0,2020_2021,covid
2020-12-06,Lille,Monaco,2,1,H,0,0,D,,10,8,5,3,12,11,1,3,3,0,0,0,2020_2021,covid
2020-12-06,Angers,Lorient,2,0,H,1,0,H,,10,12,3,3,13,11,2,12,3,0,0,0,2020_2021,covid
2020-12-06,Bordeaux,Brest,1,0,H,0,0,D,,21,8,6,3,10,11,8,2,0,3,0,0,2020_2021,covid
2020-12-06,Dijon,St Etienne,0,0,D,0,0,D,,6,7,1,2,15,13,7,4,0,1,0,0,2020_2021,covid
2020-12-06,Nantes,Strasbourg,0,4,A,0,2,A,,14,13,2,9,13,13,7,3,3,2,0,0,2020_2021,covid
2020-12-06,Reims,Nice,0,0,D,0,0,D,,11,12,2,4,12,13,6,6,1,2,0,0,2020_2021,covid
2020-12-06,Metz,Lyon,1,3,A,0,1,A,,12,18,5,5,14,14,5,6,1,0,1,1,2020_2021,covid
2020-12-11,St Etienne,Angers,0,0,D,0,0,D,,14,8,3,3,16,15,5,6,3,3,0,0,2020_2021,covid
2020-12-12,Marseille,Monaco,2,1,H,2,0,H,,5,9,2,4,22,10,1,3,3,2,0,0,2020_2021,covid
2020-12-12,Lens,Montpellier,2,3,A,1,2,A,,14,10,4,7,11,14,6,4,1,1,0,0,2020_2021,covid
2020-12-13,Nice,Rennes,0,1,A,0,1,A,,11,16,3,6,16,10,3,6,2,1,0,0,2020_2021,covid
2020-12-13,Brest,Reims,2,1,H,1,0,H,,10,10,6,4,12,11,3,4,1,1,0,0,2020_2021,covid
2020-12-13,Lorient,Nimes,3,0,H,2,0,H,,13,6,5,2,18,7,2,3,2,0,0,0,2020_2021,covid
2020-12-13,Nantes,Dijon,1,1,D,1,0,H,,17,13,6,4,11,16,4,4,2,2,0,0,2020_2021,covid
2020-12-13,Strasbourg,Metz,2,2,D,0,1,A,,18,6,4,3,11,16,5,4,3,4,0,0,2020_2021,covid
